composer,file,duration,tempo,n_instruments
bach,Bwv0967 Sonata.mid,282.7747395833333,222.46476141213054,12
bach,Bwv0811 English Suite n6 8mov.mid,223.90011195,179.89827255792278,2
bach,Bwv0528 Sonate en trio n4.mid,628.2801137838542,169.69099065512862,3
bach,Piano version of Bachs two part inventions No.2.mid,81.51567569999995,162.0756828552642,3
bach,Bwv0937 Little Prelude n5.mid,99.89583333333334,191.57522123893807,2
bach,Bwv0997 Partita for Lute 3mov.mid,230.4,168.25396825396825,5
bach,"Prelude and Fugue in A, BWV 888.mid",126.725,243.41854542024362,3
bach,Bwv1014 Harpsicord and Violin Sonata 2mov.mid,188.50365787500016,197.00859059130798,5
bach,Bwv0532 Toccata and Fugue.mid,704.7157923333332,176.42861623895686,37
bach,Bwv0535 Prelude and Fugue.mid,412.77038899999997,214.46493660223797,3
bach,Bwv0806 English Suite n1 09mov .mid,86.34,199.99999999999994,2
bach,Bwv0565 Toccata and Fugue In Dm B.mid,541.9883723999999,173.2372500423958,3
bach,Bwv0938 Little Prelude n6.mid,96.21996000000001,186.9229834615852,2
bach,Bwv0551 Prelude and Fugue.mid,302.15439999999995,263.4329352392817,3
bach,Bwv0934 Little Prelude n2.mid,114.20623499999999,250.9589286448792,2
bach,Bwv0996 Suite for Lute.mid,945.7141708270833,135.77835377733254,6
bach,Bwv0806 English Suite n1 10mov .mid,145.33342779999998,198.12953722758863,2
bach,Bwv0963 Sonata.mid,515.6627604166666,218.6893114269885,12
bach,Bwv0998 Prelude Fugue Allegro for Lute 3mov.mid,93.0,199.9999999999996,3
bach,Bwv0997 Partita for Lute 2mov.mid,283.2,200.06756756756735,4
bach,Bwv0811 English Suite n6 7mov.mid,71.85000000000001,160.0,2
bach,Bwv0561 Fantasie and Fuga.mid,559.4458800000001,194.97740735424313,3
bach,Bwv1046 aSinfonia h.mid,191.12212762500002,262.6436926167726,13
bach,Bwv0817 French Suite n6.mid,992.4809029479169,199.30773930473612,4
bach,Bwv0565 Toccata and Fugue In Dm A.mid,144.579400875,214.9502350186583,5
bach,Piano version of Bachs two part inventions No.5.mid,127.34554316666672,276.2032644713143,3
bach,Piano version of Bachs two part inventions No.12.mid,100.49396245833337,163.7926992117908,3
bach,Bwv0806 English Suite n1 05mov.mid,120.2500962,281.6848244860269,2
bach,Bwv0998 Prelude Fugue Allegro for Lute 1mov.mid,159.4505486916666,219.88416882831254,3
bach,Bwv0997 Partita for Lute 1mov.mid,166.0,160.26490066225156,2
bach,Prelude and Fugue in C Sharp BWV 872.mid,194.88333333333333,189.67587552412888,3
bach,Bwv0549 Prelude and Fugue.mid,315.35542890000005,199.9492212661879,3
bach,Bwv0811 English Suite n6 5mov.mid,107.90625,160.0,2
bach,Bwv0570 Fantasia.mid,201.59,182.3361823361823,7
bach,Bwv0552 Prelude and Fugue ''St. Anne''.mid,876.7354254499999,174.65918026647248,3
bach,"Tocatto No.1 in F Sharp Minor, BWV 910.mid",539.3243793567708,175.16649608544358,12
bach,Bwv0539 Prelude and Fugue.mid,370.25477800000004,182.90818828104125,4
bach,Bwv0806 English Suite n1 08mov .mid,115.14,200.63492063492035,2
bach,Bwv0543 Prelude and Fugue.mid,642.4632481166667,248.4090943003986,3
bach,Bwv802 Four Inventions (Duettos) Clavier-Übung III n1.mid,119.59594933333335,219.80332631873313,2
bach,AveMaria.mid,82.0,240.0,3
bach,Bwv0563 Fantasie con imitation.mid,242.55166,160.53349988415295,3
bach,Bwv0806 English Suite n1 01mov .mid,91.84151399999999,291.7381933198312,2
bach,Bwv1005 Violin Sonata n3 2mov Fugue.mid,609.6472340000001,209.2309784617477,4
bach,Bwv0533 Prelude and Fugue.mid,273.0524400000001,168.33546236243092,3
bach,Bwv0997 Partita for Lute 4mov.mid,174.61818200000002,197.8678038379526,2
bach,Bwv0566 Prelude and Fugue.mid,618.1580600000001,160.8279604730796,3
bach,Piano version of Bachs two part inventions No.11.mid,90.49669558333325,278.40073036087693,3
bach,Piano version of Bachs two part inventions No.13.mid,75.15462047499999,179.72337567341833,3
bach,Bwv0556 Short Prelude and Fugue n4 (Spurious).mid,193.32093999999998,181.3904450978151,3
bach,Bwv1005 Violin Sonata n3 4mov Allegro.mid,299.06580400000007,245.79425293270762,1
bach,"Clavierubung Part 111,Duet No.2 in F Major.mid",163.297104,218.13541270189248,2
bach,Bwv0806 English Suite n1 03mov .mid,100.2917469,272.67678227750986,2
bach,Bwv0560 Short Prelude and Fugue n8 (Spurious).mid,241.09722,154.33332232773571,3
bach,Bwv0811 English Suite n6 4mov.mid,136.76176800000002,152.52646831594174,2
bach,Bwv0546 Prelude and Fugue.mid,745.1652000000001,246.25040091985656,3
bach,Piano version of Bachs two part inventions No.15.mid,55.465406541666674,199.34077895953544,3
bach,Bwv0935 Little Prelude n3.mid,87.26647086458333,197.9998713000834,2
bach,Bwv0992 Capriccio.mid,494.21875,179.99600959470786,12
bach,Bwv0559 Short Prelude and Fugue n7 (Spurious).mid,234.990435,152.078089646161,3
bach,Bwv0555 Short Prelude and Fugue n3 (Spurious).mid,222.43489999999997,122.44740356426301,3
bach,Bwv0806 English Suite n1 04mov .mid,120.2500962,251.04664233987572,2
bach,Bwv0806 English Suite n1 07mov .mid,191.875,178.53658536585365,2
bach,Piano version of Bachs two part inventions No...mid,69.8118612083333,162.15101727440543,3
bach,Bwv0582 Passacaglia and Fugue (Orchestral).mid,857.3759290000002,260.79834834374634,18
bach,Bwv0554 Short Prelude and Fugue n2 (Spurious).mid,206.89655999999997,215.93902975954956,3
bach,Bwv0998 Prelude Fugue Allegro for Lute 2mov.mid,357.214344,225.0351737617436,4
bach,Bwv0550 Prelude and Fugue.mid,431.25641999999993,265.5252124859897,3
bach,Bwv0582 Passacaglia and Fugue.mid,732.4321007812501,202.91491675378464,3
bach,Piano version of Bachs two part inventions No.4.mid,63.06017306666667,153.31405971184043,3
bach,Piano version of Bachs two part inventions No.1.mid,80.16063354166667,180.17685918468948,3
bach,Bwv0806 English Suite n1 02mov .mid,213.20824804999998,286.7544399612905,2
bach,Bwv0811 English Suite n6 2mov.mid,160.31898745,283.82985972545487,2
bach,Bwv0572 Fantasia.mid,982.8655664499959,187.3182013551207,5
bach,Bwv0547 Prelude and Fugue.mid,601.4140383333333,248.29868948827135,3
bach,Bwv0568 Prelude.mid,163.9985946,166.05838713917154,4
bach,Bwv0811 English Suite n6 6mov.mid,95.85000000000001,158.32635983263597,2
bach,Bwv0590 Pastorale.mid,704.54571,195.0164844676313,3
bach,Bwv0531 Prelude and Fugue.mid,378.6899699999999,152.00070933664358,3
bach,Bwv0530 Sonate en trio n6.mid,996.2016920000002,219.9306552618468,3
bach,Bwv1014 Harpsicord and Violin Sonata 3mov.mid,195.30144532291695,154.4572315190483,4
bach,Bwv0811 English Suite n6 3mov.mid,143.6625,160.15888778550152,2
bach,Minuet in G.mid,42.10928123333331,180.27281750721815,2
bach,Bwv0541 Prelude and Fugue.mid,440.0504918833333,160.9594526455244,3
bach,Prelude from Sonata n6.mid,204.94810268749993,247.71612110437366,18
bach,Bwv0540 Toccata and Fugue.mid,908.37722,242.30080044657055,3
bach,Bwv0542 Fantasia and Fugue.mid,694.1035499999999,168.54995817127647,3
bach,Piano version of Bachs two part inventions No.14.mid,110.623284325,179.6593117817072,3
bach,Bwv0536 Prelude and Fugue.mid,418.7060333333333,209.5538908578817,3
bach,Bwv0529 Sonate en trio n5.mid,919.469837,239.58100216366537,3
bach,Bwv1014 Harpsicord and Violin Sonata 4mov.mid,222.7449128958333,205.5730312625534,4
bach,Jesu Joy of Man Desiring.mid,199.410065,212.72748545475895,11
bach,Bwv1005 Violin Sonata n3 3mov Largo.mid,148.23530399999999,128.3018782389943,4
bach,Bwv0538 Toccata and Fugue ''Dorian''.mid,770.9061599999998,238.71085877123497,3
bach,Bwv0936 Little Prelude n4.mid,130.79541966666665,175.41141801383628,3
bach,Bwv0537 Fantasia and Fugue.mid,488.41839177083335,287.30434491956964,3
bach,Bwv0806 English Suite n1 06mov .mid,120.2500962,283.9650830347375,2
bach,Bwv0525 Sonate en trio n1.mid,851.9745114458334,185.8989271063058,3
bach,Bwv0816 French Suite n5.mid,1179.4193244635417,237.6854599406532,4
bach,Bwv0733 Fuga Sopra Magnificat.mid,214.8333088,151.99993920002433,3
bach,Bwv0526 Sonate en trio n2.mid,760.3109953125,245.86969660947997,3
bach,Bwv1014 Harpsicord and Violin Sonata 1mov.mid,267.52105724999984,101.36800212576503,5
bach,Bwv0558 Short Prelude and Fugue n6 (Spurious).mid,333.90244,160.02225613245278,3
bach,Bwv0557 Short Prelude and Fugue n5 (Spurious).mid,201.83145,149.4047717653057,3
bach,Bwv0933 Little Prelude n1.mid,87.15906766666666,175.26364506333178,2
bach,Piano version of Bachs two part inventions No.10.mid,72.73626316666665,240.2984727565276,3
bach,Bwv0527 Sonate en trio n3.mid,920.4313863333334,205.91974998940066,3
bach,Bwv0594 Vivaldi Concerto Arrangement RV208.mid,1121.86851,208.62460069777055,3
bach,Bwv0815 French Suite n4.mid,1152.9052744427067,177.31059494836924,4
bach,Piano version of Bachs two part inventions No.6.mid,223.55729879999996,203.72040655940705,3
bach,"Toccata and Fugue in D minor, BWV 565. (Busoni Piano Arr.mid",449.36145425000007,198.98571097933763,2
bach,Bwv0997 Partita for Lute 5mov.mid,174.2536365,199.64973730297712,2
bach,Piano version of Bachs two part inventions No.7.mid,70.5977895416667,160.5351170568562,3
bach,Bwv0811 English Suite n6 1mov.mid,474.06662399999993,227.99990880003557,2
bach,Piano version of Bachs two part inventions No.8.mid,61.195625758333335,199.7009171928176,3
bach,Bwv0593 Vivaldi Concerto Arrangement RV522.mid,682.36757,164.09399629145423,3
bach,Bwv0544 Prelude and Fugue.mid,747.7276570833334,265.00228743332906,3
bach,Bwv1005 Violin Sonata n3 1mov Adagio.mid,188.86482,124.89799040817103,4
bach,Prelude and Fugue in D.mid,163.60625,170.8169014084506,3
bach,Bwv0906 Fantasia and Fugue.mid,458.60107404166666,198.67592834184083,2
bach,Piano version of Bachs two part inventions No.3.mid,69.8118612083333,162.15101727440543,3
bach,Piano version of Bachs two part inventions No.9.mid,70.7455465416666,180.34311783946444,3
beethoven,String Quartet n1 op18 1mov.mid,490.15844024999996,155.19324518428564,4
beethoven,Sketch for Piano Alla Marcia.mid,26.76769023333332,162.86074195377884,2
beethoven,Sketch for Piano Presto.mid,40.580336,161.17081766508647,2
beethoven,Sonata in Bflat Major Op.106.mid,149.49533091666686,208.9065291053657,2
beethoven,String Quartet n1 op18 2mov.mid,575.4806924999999,169.89792055095407,4
beethoven,String Quartet n16 op135 1mov.mid,362.539155109375,201.67892816228462,4
beethoven,String Quartet n16 op135 2mov.mid,258.40358775,247.1173642344817,4
beethoven,Sonatina op33 4mov.mid,172.0,220.12279163012158,1
beethoven,Piano Concerto n3 op37 1mov.mid,918.4963207999998,243.32940876743746,16
beethoven,Bagatella op33 n6.mid,134.029878,181.6282831177393,2
beethoven,Opus045 Three Grandes Marches.mid,623.4046450104149,218.94627128297896,5
beethoven,Hess057 Bagatella.mid,45.588212500000004,198.40009920004957,2
beethoven,op089 Polonaise.mid,330.8564958776043,197.63577684014152,2
beethoven,Piano Concerto n1 op15 3mov.mid,570.3535140000001,246.5597754195441,16
beethoven,String Quartet n16 op135 4mov.mid,685.6434316770839,225.20087217999338,4
beethoven,Hess059 Exercizio Per Pianoforte.mid,31.973697,151.24746425348968,2
beethoven,Lieder op48 n6 ''Busslied''.mid,260.5006142083333,191.81061938265447,3
beethoven,Rage over a lost pennny.mid,402.1281693,274.1312924647218,1
beethoven,Overture ''King Stephen''.mid,442.50637948333355,214.45786270501048,17
beethoven,"Sieben Bagatellen, in E flat Major, Opus.33, No.1.mid",204.80931900000002,194.43022223374396,2
beethoven,WoO054 Lustig Traurig.mid,67.72820586666667,195.70169290927004,2
beethoven,Sonatina In C.mid,539.9651212666666,177.73410283061372,1
beethoven,Piano Concerto n4 op58 2mov.mid,231.42530895833337,182.40866891834082,11
beethoven,Overture ''Leonore'' n2 op72.mid,784.8103089583313,214.87482265322845,27
beethoven,Piano Concerto n4 op58 1mov.mid,1045.9008861333334,198.5050608734644,16
beethoven,Hess073 Bagatella.mid,27.0000045,195.99996733333893,2
beethoven,"Piano Concerto No5,Mov.3.mid",601.9531908500007,244.893289578604,16
beethoven,Lieder op48 n2 ''Die Liebe Des Nachsten''.mid,54.923021999999996,260.00026000026,3
beethoven,Sonata No.14 Op 27 Sonata Quasi Una Fantasia.mid,169.95088900000002,136.30832887195706,2
beethoven,Bagatella op33 n4.mid,97.237998,202.42764306088876,2
beethoven,Rondo in B flat.mid,337.8222834895833,276.2236537358363,2
beethoven,String Quartet n2 op18 n2 2mov.mid,263.225908,201.56349578665785,4
beethoven,Piano Concerto n2 op19 1mov.mid,786.9069635333323,208.805102256168,10
beethoven,WoO052 Bagatella.mid,353.90372608333325,220.49997019438578,2
beethoven,Sonata Opus.81a -Les Adieux- E flat No.2 & 3.mid,548.5150619416661,163.83090747725427,1
beethoven,Fur Elise.mid,157.61258591666663,183.00530940491342,4
beethoven,Sonata op78 1st mov.mid,234.49040541666665,172.3836376430921,2
beethoven,Bagatella op33 n5.mid,143.08333333333331,193.57833655705974,2
beethoven,Overture ''Inauguration of the House'' op214.mid,641.7492816833335,271.10744042148093,19
beethoven,Piano Concerto n4 op58 3mov.mid,552.8420231250013,232.59611301607828,18
beethoven,Piano Concerto n5 op73 2-3mov ''Emperor''.mid,1108.8457434583347,235.63340931023924,21
beethoven,"Sieben Bagatellen, in D Major, Opus.33, No.6.mid",134.029878,181.6282831177393,2
beethoven,op051 3 Rondos.mid,1063.0281744145934,185.01366857698247,5
beethoven,Hess063 keyb Kaplied.mid,27.580054233333335,198.06326352847728,2
beethoven,Violin Concerto op61 2-3movs.mid,1029.5147300166661,240.80910271539938,23
beethoven,Anh08Nb1 Gavotte 4 hands.mid,167.17611335833334,188.6304200169305,4
beethoven,Minuetto.mid,54.32344691666667,167.42743889964035,2
beethoven,"Sieben Bagatellen, in A Major, Opus.33, No.4.mid",97.237998,202.42764306088876,2
beethoven,WoO048 Rondo.mid,142.22517051666665,209.15544882597672,2
beethoven,Overture ''Leonore'' n3 op72.mid,819.7730247916711,202.45137041550745,29
beethoven,March No.3.mid,624.746837497915,218.70080000320985,5
beethoven,Piano Sonata No2 Assai vivace.mid,150.84936554166683,210.81892350565604,2
beethoven,Sechs Variationen.mid,272.363364,218.85840373706813,2
beethoven,Lieder op48 n5 ''Gottes Macht Und Vorsehung''.mid,32.142825,122.50012250012249,3
beethoven,Romance piano.mid,529.7093981249994,198.12786122085643,2
beethoven,WoO086 Scotish.mid,30.072899374999988,150.98270064074174,2
beethoven,Sketch for Piano Allegro.mid,31.258079649999996,237.70208860995237,2
beethoven,Piano Romance  No.50.mid,530.3520566250003,198.12797123086082,2
beethoven,"Sieben Bagatellen, C Major, Opus.33, No.2.mid",202.08313125,201.65105135310412,2
beethoven,Lieder op82 n1 ''Dimmi Den Mio Che Mi Ami''.mid,107.65656478333331,212.82155499837697,3
beethoven,Andante in F Major.mid,250.5,161.1172363101802,2
beethoven,String Quartet n1 op18 3mov.mid,239.22,238.61062169645103,4
beethoven,Sonata Presto.mid,270.7,277.80218187746505,1
beethoven,Lieder op48 n3 ''Vom Tode''.mid,110.25,66.66666666666667,3
beethoven,Sonatina n1 op05.mid,212.44378970833333,218.8677971364086,2
beethoven,Lieder op48 n1 ''Bitten''.mid,112.65307999999999,92.76334331806878,3
beethoven,WoO056 Bagatella.mid,119.49309983333329,226.85258732211196,2
beethoven,Piano Concerto n5 op73 1mov ''Emperor''.mid,1225.9136724000002,220.44817065716185,19
beethoven,op126 Six Bagatellas.mid,908.273976968749,199.29654894694457,5
beethoven,Sonatina Fa maj woo.mid,308.7187413333334,215.2654151195036,2
beethoven,String Quartet n1 op18 4mov.mid,389.36473125,211.28590073437095,4
beethoven,WoO061 Mouvement Pour Piano.mid,106.65124431666659,125.71418095246835,2
beethoven,Preludes 2 Through Major keys 39.mid,617.5089010312494,131.24683284540697,4
beethoven,WoO010 Six Menuets for Orchestra.mid,607.1656526000002,194.25584478667025,2
beethoven,Hess061 Anglaise.mid,42.765966,187.99996240000743,2
beethoven,Op.51.mid,269.45,225.27330952994467,1
beethoven,Op33 No.4.mid,172.0,220.12279163012175,1
beethoven,WoO049 Rondo.mid,135.41671487499988,199.52978333182858,2
beethoven,Bagatella op33 n1.mid,204.80967741666666,194.4298819811104,2
beethoven,"Rondo Opus.51, No.2.mid",330.17782124999997,180.1079286201566,2
beethoven,Bagatella op33 n2.mid,202.08313125,201.65105135310412,2
beethoven,op077 Fantaisie.mid,504.79944980833307,185.90131197191695,5
beethoven,HessA21 Bagatella.mid,63.7219936,166.0319992003383,2
beethoven,Violin Concerto op61 1mov.mid,1318.2037809666679,205.04668624470372,18
beethoven,WoO081 Allemande.mid,72.9,198.9528795811519,2
beethoven,Hess074 Bagatella.mid,41.5232398,205.29434955843095,2
beethoven,WoO083 Six Escotish Dances for Piano.mid,245.09693605833334,169.05152942731615,2
beethoven,"Piano Sonata No.27,  3rd mov.mid",414.9311825000001,181.41357192572485,1
beethoven,Piano Sonatina No.2 Op 49.mid,270.7,277.80218187746505,1
beethoven,Piano Concerto n2 op19 3mov.mid,355.1120409999999,168.0934252751832,15
beethoven,WoO051 Sonatina 1-2 movs.mid,5032.305478291666,212.76854112695946,2
beethoven,Piano Sonatina in G Op79.mid,625.49375,191.02023459371395,2
beethoven,Piano Concerto n2 op19 2mov.mid,245.91768099999996,230.4862291000917,15
beethoven,Bagatella op33 n3.mid,99.575658,166.1872165469288,2
beethoven,String Quartet n2 op18 n2 3mov.mid,260.99993475,232.00005800001446,4
beethoven,Lieder op46 ''Adelaide''.mid,441.0016184833334,200.938707458403,3
beethoven,String Quartet n2 op18 n2 4mov.mid,323.15625,161.3613159387408,4
beethoven,Sonata No.14 Op 27 Moonlight Sonata.mid,347.11533599999996,149.058292114932,2
beethoven,Piano Concerto n3 op37 3mov.mid,455.68217164166697,229.52914660274087,18
beethoven,WoO060 Mouvement Pour Piano.mid,55.65578199999999,172.00010320006177,2
beethoven,String Quartet n16 op135 3mov.mid,368.7338735937501,58.00001450000359,4
beethoven,Lieder op48 n4 ''Die Ehre Gottes Aus Der Natur''.mid,124.28101674999999,84.80147437241514,3
beethoven,"Piano Concerto No5,Mov.1.mid",1129.310826366666,233.60793190332268,18
beethoven,"Sonata, Opus.111 C minor No.1.mid",504.07921606666696,213.24753320806775,1
beethoven,Piano Concerto n1 op15 1mov.mid,888.2074670000003,236.93512022275448,15
beethoven,"Sieben Bagatellen, in F Major, Opus.33, No.3.mid",99.575658,166.1872165469288,2
beethoven,Sketch for Piano Allegretto.mid,66.4044645,175.17468200321017,2
beethoven,Anh06 Rondo.mid,336.8752695,281.7091763420629,2
beethoven,Lieder op99 ''Der Mann Von Wort''.mid,115.94597300000001,133.1999689200073,3
beethoven,Overture ''Corolian'' op62.mid,462.61565420000176,199.59419110848535,18
beethoven,WoO055 Prelude.mid,247.70975189374994,144.25599566767536,3
beethoven,Sonatina WoO050.mid,249.96434096041642,229.4555542899088,5
beethoven,"Sieben Bagatellen, in C Major, Opus.33, No.5.mid",143.08333333333331,193.57833655705974,2
beethoven,32 Variations on a theme.mid,618.9428055749989,195.84794803796157,3
beethoven,Overture ''Creatures Of Prometeus'' op43.mid,287.92274299999997,151.74231949978665,12
beethoven,"Rondo Opus.51, No.1.mid",228.70089,243.48396557544862,2
